controller,method,route,col3,col4,param,col6,annotation,request
Traversal,download,/Traversal/download,{...},GetMapping,filename,String,no AnAnnotation,
Traversal,fileList,/Traversal/list,,GetMapping,filename,String,no AnAnnotation,
Traversal,fileList,/Traversal/list,"""""",GetMapping,filename,String,no AnAnnotation,
Traversal,fileList,/Traversal/list,{...},GetMapping,filename,String,no AnAnnotation,
Traversal,safe,/Traversal/download/safe,,GetMapping,filename,String,no AnAnnotation,
Traversal,safe,/Traversal/download/safe,"""""",GetMapping,filename,String,no AnAnnotation,
Traversal,safe,/Traversal/download/safe,{...},GetMapping,filename,String,no AnAnnotation,
XFF,vul,/XFF/vul,,GetMapping,"""X-Forwarded-For""",String,no AnAnnotation,getHeader(...)
XFF,ip,/XFF/proxy,application/x-www-form-urlencoded,RequestMapping,"""X-Forwarded-For""",String,no AnAnnotation,getHeader(...)
XPathInjection,vul,/XPath/vul,,GetMapping,"""username""",String,RequestParam,
XPathInjection,vul,/XPath/vul,,GetMapping,"""password""",String,RequestParam,
XPathInjection,vul,/XPath/vul,"""""",GetMapping,"""username""",String,RequestParam,
XPathInjection,vul,/XPath/vul,"""""",GetMapping,"""password""",String,RequestParam,
XPathInjection,vul,/XPath/vul,{...},GetMapping,"""username""",String,RequestParam,
XPathInjection,vul,/XPath/vul,{...},GetMapping,"""password""",String,RequestParam,
XPathInjection,safe,/XPath/safe,,GetMapping,"""username""",String,RequestParam,
XPathInjection,safe,/XPath/safe,,GetMapping,"""password""",String,RequestParam,
XPathInjection,safe,/XPath/safe,"""""",GetMapping,"""username""",String,RequestParam,
XPathInjection,safe,/XPath/safe,"""""",GetMapping,"""password""",String,RequestParam,
XPathInjection,safe,/XPath/safe,{...},GetMapping,"""username""",String,RequestParam,
XPathInjection,safe,/XPath/safe,{...},GetMapping,"""password""",String,RequestParam,
XSS,vul1,/XSS/reflect,,GetMapping,content,String,no AnAnnotation,
XSS,vul1,/XSS/reflect,"""""",GetMapping,content,String,no AnAnnotation,
XSS,vul1,/XSS/reflect,{...},GetMapping,content,String,no AnAnnotation,
XSS,vul2,/XSS/vul2,,GetMapping,content,String,no AnAnnotation,
XSS,safe1,/XSS/escape,,GetMapping,content,String,no AnAnnotation,
XSS,safe1,/XSS/escape,"""""",GetMapping,content,String,no AnAnnotation,
XSS,safe1,/XSS/escape,{...},GetMapping,content,String,no AnAnnotation,
XSS,safe2,/XSS/filter,,GetMapping,content,String,no AnAnnotation,
XSS,safe2,/XSS/filter,"""""",GetMapping,content,String,no AnAnnotation,
